n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_dstart_ms,mean_dend_ms,recall_q1,f1_q1,recall_q2,f1_q2,recall_q3,f1_q3,tape,model,variant
3,509,0,509,3,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th30
57,586,8,578,49,0.013651877133105802,0.14035087719298245,0.024883359253499222,282.6249999999675,650.249999999982,0.0,,0.12195121951219512,0.20408163265306123,0.21428571428571427,0.2727272727272727,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th30
0,558,0,558,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th30
5,1101,0,1101,5,0.0,0.0,0.0,,,,,0.0,,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th30
1,764,0,764,1,0.0,0.0,0.0,,,0.0,,,,,,388_20250204.wav,v1_random,len500_hop050_th80
0,667,0,667,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v1_random,len500_hop050_th80
7,447,0,447,7,0.0,0.0,0.0,,,0.0,,0.0,,,,4212_20250205.wav,v1_random,len500_hop050_th80
1,86,1,85,0,0.011627906976744186,1.0,0.022988505747126436,341.0000000001219,327.99999999997453,,,,,1.0,1.0,7919_20250203.wav,v1_random,len500_hop050_th80
1,400,0,400,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v1_random,len500_hop050_th80
37,347,9,338,28,0.025936599423631124,0.24324324324324326,0.046875,337.11111111112916,349.2222222222207,0.21428571428571427,0.2608695652173913,0.25,0.3448275862068966,0.3333333333333333,0.16666666666666666,TINA_20250203_v2.wav,v1_random,len500_hop050_th80
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th80
0,952,0,952,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th80
16,921,2,919,14,0.002171552660152009,0.125,0.004268943436499467,793.0000000000064,352.00000000000387,0.0,,0.09090909090909091,0.15384615384615385,1.0,0.6666666666666666,UNKN_20250205.wav,v1_random,len500_hop050_th80
1,587,0,587,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th80
3,1412,0,1412,3,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th80
57,1117,13,1104,44,0.011638316920322292,0.22807017543859648,0.022146507666098804,290.5384615384277,457.46153846150366,0.0,,0.21951219512195122,0.3333333333333333,0.2857142857142857,0.29629629629629634,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th80
0,334,0,334,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th80
5,511,0,511,5,0.0,0.0,0.0,,,,,0.0,,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th80
1,1204,0,1204,1,0.0,0.0,0.0,,,0.0,,,,,,388_20250204.wav,v1_random,len500_hop050_th20
0,1149,0,1149,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v1_random,len500_hop050_th20
7,795,0,795,7,0.0,0.0,0.0,,,0.0,,0.0,,,,4212_20250205.wav,v1_random,len500_hop050_th20
1,345,1,344,0,0.002898550724637681,1.0,0.005780346820809248,341.0000000001219,378.00000000015643,,,,,1.0,1.0,7919_20250203.wav,v1_random,len500_hop050_th20
1,801,0,801,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v1_random,len500_hop050_th20
37,846,4,842,33,0.004728132387706856,0.10810810810810811,0.009060022650056624,362.2499999999924,372.99999999999756,0.07142857142857142,0.11111111111111112,0.15,0.24999999999999997,0.0,,TINA_20250203_v2.wav,v1_random,len500_hop050_th20
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th20
0,965,0,965,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th20
16,577,1,576,15,0.0017331022530329288,0.0625,0.003372681281618887,1223.0000000000132,218.00000000001774,0.0,,0.0,,1.0,1.0,UNKN_20250205.wav,v1_random,len500_hop050_th20
1,1149,0,1149,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th20
3,449,0,449,3,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th20
